evidence_id,transaction_id,evidence_type,content
EV_000072,TXN_000024,refund_record,Refund status: processed.
EV_000073,TXN_000025,payment_authentication,Payment authentication status was success.
EV_000074,TXN_000025,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-07.
EV_000075,TXN_000025,refund_record,Refund status: none.
EV_000076,TXN_000026,payment_authentication,Payment authentication status was success.
EV_000077,TXN_000026,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-07-17.
EV_000078,TXN_000026,refund_record,Refund status: none.
EV_000079,TXN_000027,payment_authentication,Payment authentication status was failed.
EV_000080,TXN_000027,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-14.
EV_000081,TXN_000027,refund_record,Refund status: requested.
EV_000082,TXN_000028,payment_authentication,Payment authentication status was success.
EV_000083,TXN_000028,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-31.
EV_000084,TXN_000028,refund_record,Refund status: none.
EV_000085,TXN_000029,payment_authentication,Payment authentication status was success.
EV_000086,TXN_000029,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-08-05.
EV_000087,TXN_000029,refund_record,Refund status: processed.
EV_000088,TXN_000030,payment_authentication,Payment authentication status was success.
EV_000089,TXN_000030,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-28.
EV_000090,TXN_000030,refund_record,Refund status: requested.
EV_000091,TXN_000031,payment_authentication,Payment authentication status was success.
EV_000092,TXN_000031,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-02.
EV_000093,TXN_000031,refund_record,Refund status: none.
EV_000094,TXN_000032,payment_authentication,Payment authentication status was failed.
EV_000095,TXN_000032,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-05-23.
EV_000096,TXN_000032,refund_record,Refund status: none.
EV_000097,TXN_000033,payment_authentication,Payment authentication status was failed.
EV_000098,TXN_000033,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-02-23.
EV_000099,TXN_000033,refund_record,Refund status: processed.
EV_000100,TXN_000034,payment_authentication,Payment authentication status was success.
EV_000101,TXN_000034,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-05-15.
EV_000102,TXN_000034,refund_record,Refund status: requested.
EV_000103,TXN_000035,payment_authentication,Payment authentication status was failed.
EV_000104,TXN_000035,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-07-10.
EV_000105,TXN_000035,refund_record,Refund status: none.
EV_000106,TXN_000036,payment_authentication,Payment authentication status was success.
EV_000107,TXN_000036,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-06.
EV_000108,TXN_000036,refund_record,Refund status: none.
EV_000109,TXN_000037,payment_authentication,Payment authentication status was success.
EV_000110,TXN_000037,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-02.
EV_000111,TXN_000037,refund_record,Refund status: none.
EV_000112,TXN_000038,payment_authentication,Payment authentication status was failed.
EV_000113,TXN_000038,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-10.
EV_000114,TXN_000038,refund_record,Refund status: none.
EV_000115,TXN_000039,payment_authentication,Payment authentication status was failed.
EV_000116,TXN_000039,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-31.
EV_000117,TXN_000039,refund_record,Refund status: requested.
EV_000118,TXN_000040,payment_authentication,Payment authentication status was success.
EV_000119,TXN_000040,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-10.
EV_000120,TXN_000040,refund_record,Refund status: requested.
EV_000121,TXN_000041,payment_authentication,Payment authentication status was success.
EV_000122,TXN_000041,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-09.
EV_000123,TXN_000041,refund_record,Refund status: none.
EV_000124,TXN_000042,payment_authentication,Payment authentication status was success.
EV_000125,TXN_000042,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-28.
EV_000126,TXN_000042,refund_record,Refund status: none.
EV_000127,TXN_000043,payment_authentication,Payment authentication status was success.
EV_000128,TXN_000043,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-04-23.
EV_000129,TXN_000043,refund_record,Refund status: none.
EV_000130,TXN_000044,payment_authentication,Payment authentication status was success.
EV_000131,TXN_000044,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-07-14.
EV_000132,TXN_000044,refund_record,Refund status: none.
EV_000133,TXN_000045,payment_authentication,Payment authentication status was failed.
EV_000134,TXN_000045,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-23.
EV_000135,TXN_000045,refund_record,Refund status: none.
EV_000136,TXN_000046,payment_authentication,Payment authentication status was failed.
EV_000137,TXN_000046,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-23.
EV_000138,TXN_000046,refund_record,Refund status: processed.
EV_000139,TXN_000047,payment_authentication,Payment authentication status was success.
EV_000140,TXN_000047,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-07-28.
EV_000141,TXN_000047,refund_record,Refund status: none.
EV_000142,TXN_000048,payment_authentication,Payment authentication status was failed.
EV_000143,TXN_000048,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-06-20.
EV_000144,TXN_000048,refund_record,Refund status: none.
EV_000145,TXN_000049,payment_authentication,Payment authentication status was success.
EV_000146,TXN_000049,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-21.
EV_000147,TXN_000049,refund_record,Refund status: processed.
EV_000148,TXN_000050,payment_authentication,Payment authentication status was success.
EV_000149,TXN_000050,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-12.
EV_000150,TXN_000050,refund_record,Refund status: none.
EV_000151,TXN_000051,payment_authentication,Payment authentication status was success.
EV_000152,TXN_000051,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-06-06.
EV_000153,TXN_000051,refund_record,Refund status: requested.
EV_000154,TXN_000052,payment_authentication,Payment authentication status was success.
EV_000155,TXN_000052,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-08-18.
EV_000156,TXN_000052,refund_record,Refund status: requested.
EV_000157,TXN_000053,payment_authentication,Payment authentication status was success.
EV_000158,TXN_000053,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-04-12.
EV_000159,TXN_000053,refund_record,Refund status: processed.
EV_000160,TXN_000054,payment_authentication,Payment authentication status was success.
EV_000161,TXN_000054,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-18.
EV_000162,TXN_000054,refund_record,Refund status: none.
EV_000163,TXN_000055,payment_authentication,Payment authentication status was success.
EV_000164,TXN_000055,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-07.
EV_000165,TXN_000055,refund_record,Refund status: none.
EV_000166,TXN_000056,payment_authentication,Payment authentication status was success.
EV_000167,TXN_000056,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-24.
EV_000168,TXN_000056,refund_record,Refund status: requested.
EV_000169,TXN_000057,payment_authentication,Payment authentication status was success.
EV_000170,TXN_000057,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-05-17.
EV_000171,TXN_000057,refund_record,Refund status: requested.
EV_000172,TXN_000058,payment_authentication,Payment authentication status was success.
EV_000173,TXN_000058,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-07-16.
EV_000174,TXN_000058,refund_record,Refund status: none.
EV_000175,TXN_000059,payment_authentication,Payment authentication status was success.
EV_000176,TXN_000059,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-08-19.
EV_000177,TXN_000059,refund_record,Refund status: processed.
EV_000178,TXN_000060,payment_authentication,Payment authentication status was success.
EV_000179,TXN_000060,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-02-01.
EV_000180,TXN_000060,refund_record,Refund status: requested.
EV_000181,TXN_000061,payment_authentication,Payment authentication status was success.
EV_000182,TXN_000061,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-05-18.
EV_000183,TXN_000061,refund_record,Refund status: none.
EV_000184,TXN_000062,payment_authentication,Payment authentication status was success.
EV_000185,TXN_000062,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-03.
EV_000186,TXN_000062,refund_record,Refund status: processed.
EV_000187,TXN_000063,payment_authentication,Payment authentication status was success.
EV_000188,TXN_000063,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-13.
EV_000189,TXN_000063,refund_record,Refund status: none.
EV_000190,TXN_000064,payment_authentication,Payment authentication status was success.
EV_000191,TXN_000064,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-06-28.
EV_000192,TXN_000064,refund_record,Refund status: requested.
EV_000193,TXN_000065,payment_authentication,Payment authentication status was success.
EV_000194,TXN_000065,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-03.
EV_000195,TXN_000065,refund_record,Refund status: none.
EV_000196,TXN_000066,payment_authentication,Payment authentication status was success.
EV_000197,TXN_000066,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-26.
EV_000198,TXN_000066,refund_record,Refund status: processed.
EV_000199,TXN_000067,payment_authentication,Payment authentication status was success.
EV_000200,TXN_000067,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-20.
EV_000201,TXN_000067,refund_record,Refund status: none.
EV_000202,TXN_000068,payment_authentication,Payment authentication status was success.
EV_000203,TXN_000068,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-11.
EV_000204,TXN_000068,refund_record,Refund status: none.
EV_000205,TXN_000069,payment_authentication,Payment authentication status was success.
EV_000206,TXN_000069,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-02.
EV_000207,TXN_000069,refund_record,Refund status: none.
EV_000208,TXN_000070,payment_authentication,Payment authentication status was success.
EV_000209,TXN_000070,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-08.
EV_000210,TXN_000070,refund_record,Refund status: processed.
EV_000211,TXN_000071,payment_authentication,Payment authentication status was success.
EV_000212,TXN_000071,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-24.
EV_000213,TXN_000071,refund_record,Refund status: none.
EV_000214,TXN_000072,payment_authentication,Payment authentication status was success.
EV_000215,TXN_000072,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-27.
EV_000216,TXN_000072,refund_record,Refund status: requested.
EV_000217,TXN_000073,payment_authentication,Payment authentication status was success.
EV_000218,TXN_000073,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-07.
EV_000219,TXN_000073,refund_record,Refund status: none.
EV_000220,TXN_000074,payment_authentication,Payment authentication status was success.
EV_000221,TXN_000074,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-14.
EV_000222,TXN_000074,refund_record,Refund status: none.
EV_000223,TXN_000075,payment_authentication,Payment authentication status was success.
EV_000224,TXN_000075,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-07-16.
EV_000225,TXN_000075,refund_record,Refund status: none.
EV_000226,TXN_000076,payment_authentication,Payment authentication status was success.
EV_000227,TXN_000076,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-02.
EV_000228,TXN_000076,refund_record,Refund status: processed.
EV_000229,TXN_000077,payment_authentication,Payment authentication status was success.
EV_000230,TXN_000077,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-01-14.
EV_000231,TXN_000077,refund_record,Refund status: none.
EV_000232,TXN_000078,payment_authentication,Payment authentication status was success.
EV_000233,TXN_000078,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-03.
EV_000234,TXN_000078,refund_record,Refund status: processed.
EV_000235,TXN_000079,payment_authentication,Payment authentication status was success.
EV_000236,TXN_000079,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-08.
EV_000237,TXN_000079,refund_record,Refund status: requested.
EV_000238,TXN_000080,payment_authentication,Payment authentication status was success.
EV_000239,TXN_000080,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-17.
EV_000240,TXN_000080,refund_record,Refund status: none.
EV_000241,TXN_000081,payment_authentication,Payment authentication status was success.
EV_000242,TXN_000081,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-16.
EV_000243,TXN_000081,refund_record,Refund status: none.
EV_000244,TXN_000082,payment_authentication,Payment authentication status was failed.
EV_000245,TXN_000082,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-08-08.
EV_000246,TXN_000082,refund_record,Refund status: processed.
EV_000247,TXN_000083,payment_authentication,Payment authentication status was failed.
EV_000248,TXN_000083,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-19.
EV_000249,TXN_000083,refund_record,Refund status: requested.
EV_000250,TXN_000084,payment_authentication,Payment authentication status was failed.
EV_000251,TXN_000084,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-11.
EV_000252,TXN_000084,refund_record,Refund status: none.
EV_000253,TXN_000085,payment_authentication,Payment authentication status was success.
EV_000254,TXN_000085,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-04-20.
EV_000255,TXN_000085,refund_record,Refund status: requested.
EV_000256,TXN_000086,payment_authentication,Payment authentication status was success.
EV_000257,TXN_000086,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-02-03.
EV_000258,TXN_000086,refund_record,Refund status: requested.
EV_000259,TXN_000087,payment_authentication,Payment authentication status was success.
EV_000260,TXN_000087,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-25.
EV_000261,TXN_000087,refund_record,Refund status: processed.
EV_000262,TXN_000088,payment_authentication,Payment authentication status was failed.
EV_000263,TXN_000088,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-01.
EV_000264,TXN_000088,refund_record,Refund status: none.
EV_000265,TXN_000089,payment_authentication,Payment authentication status was success.
EV_000266,TXN_000089,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-13.
EV_000267,TXN_000089,refund_record,Refund status: none.
EV_000268,TXN_000090,payment_authentication,Payment authentication status was success.
EV_000269,TXN_000090,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-04-17.
EV_000270,TXN_000090,refund_record,Refund status: processed.
EV_000271,TXN_000091,payment_authentication,Payment authentication status was failed.
EV_000272,TXN_000091,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-08-11.
EV_000273,TXN_000091,refund_record,Refund status: requested.
EV_000274,TXN_000092,payment_authentication,Payment authentication status was failed.
EV_000275,TXN_000092,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-06-24.
EV_000276,TXN_000092,refund_record,Refund status: processed.
EV_000277,TXN_000093,payment_authentication,Payment authentication status was success.
EV_000278,TXN_000093,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-17.
EV_000279,TXN_000093,refund_record,Refund status: none.
EV_000280,TXN_000094,payment_authentication,Payment authentication status was success.
EV_000281,TXN_000094,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-04-16.
EV_000282,TXN_000094,refund_record,Refund status: requested.
EV_000283,TXN_000095,payment_authentication,Payment authentication status was success.
EV_000284,TXN_000095,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-02-26.
EV_000285,TXN_000095,refund_record,Refund status: processed.
EV_000286,TXN_000096,payment_authentication,Payment authentication status was success.
EV_000287,TXN_000096,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-02.
EV_000288,TXN_000096,refund_record,Refund status: requested.
EV_000289,TXN_000097,payment_authentication,Payment authentication status was success.
EV_000290,TXN_000097,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-20.
EV_000291,TXN_000097,refund_record,Refund status: none.
EV_000292,TXN_000098,payment_authentication,Payment authentication status was failed.
EV_000293,TXN_000098,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-24.
EV_000294,TXN_000098,refund_record,Refund status: none.
EV_000295,TXN_000099,payment_authentication,Payment authentication status was failed.
EV_000296,TXN_000099,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-13.
EV_000297,TXN_000099,refund_record,Refund status: none.
EV_000298,TXN_000100,payment_authentication,Payment authentication status was failed.
EV_000299,TXN_000100,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-05-09.
EV_000300,TXN_000100,refund_record,Refund status: none.
EV_000301,TXN_000101,payment_authentication,Payment authentication status was success.
EV_000302,TXN_000101,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-09.
EV_000303,TXN_000101,refund_record,Refund status: none.
EV_000304,TXN_000102,payment_authentication,Payment authentication status was success.
EV_000305,TXN_000102,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-24.
EV_000306,TXN_000102,refund_record,Refund status: requested.
EV_000307,TXN_000103,payment_authentication,Payment authentication status was success.
EV_000308,TXN_000103,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-26.
EV_000309,TXN_000103,refund_record,Refund status: none.
EV_000310,TXN_000104,payment_authentication,Payment authentication status was success.
EV_000311,TXN_000104,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-06-13.
EV_000312,TXN_000104,refund_record,Refund status: processed.
EV_000313,TXN_000105,payment_authentication,Payment authentication status was failed.
EV_000314,TXN_000105,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-23.
EV_000315,TXN_000105,refund_record,Refund status: none.
EV_000316,TXN_000106,payment_authentication,Payment authentication status was failed.
EV_000317,TXN_000106,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-26.
EV_000318,TXN_000106,refund_record,Refund status: requested.
EV_000319,TXN_000107,payment_authentication,Payment authentication status was success.
EV_000320,TXN_000107,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-22.
EV_000321,TXN_000107,refund_record,Refund status: none.
EV_000322,TXN_000108,payment_authentication,Payment authentication status was success.
EV_000323,TXN_000108,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-08-17.
EV_000324,TXN_000108,refund_record,Refund status: none.
EV_000325,TXN_000109,payment_authentication,Payment authentication status was failed.
EV_000326,TXN_000109,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-08-14.
EV_000327,TXN_000109,refund_record,Refund status: requested.
EV_000328,TXN_000110,payment_authentication,Payment authentication status was success.
EV_000329,TXN_000110,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-16.
EV_000330,TXN_000110,refund_record,Refund status: none.
EV_000331,TXN_000111,payment_authentication,Payment authentication status was failed.
EV_000332,TXN_000111,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-08.
EV_000333,TXN_000111,refund_record,Refund status: none.
EV_000334,TXN_000112,payment_authentication,Payment authentication status was success.
EV_000335,TXN_000112,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-05-09.
EV_000336,TXN_000112,refund_record,Refund status: none.
EV_000337,TXN_000113,payment_authentication,Payment authentication status was failed.
EV_000338,TXN_000113,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-06-30.
EV_000339,TXN_000113,refund_record,Refund status: none.
EV_000340,TXN_000114,payment_authentication,Payment authentication status was success.
EV_000341,TXN_000114,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-17.
EV_000342,TXN_000114,refund_record,Refund status: none.
EV_000343,TXN_000115,payment_authentication,Payment authentication status was failed.
EV_000344,TXN_000115,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-06-03.
EV_000345,TXN_000115,refund_record,Refund status: none.
EV_000346,TXN_000116,payment_authentication,Payment authentication status was success.
EV_000347,TXN_000116,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-01-17.
EV_000348,TXN_000116,refund_record,Refund status: none.
EV_000349,TXN_000117,payment_authentication,Payment authentication status was success.
EV_000350,TXN_000117,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-05.
EV_000351,TXN_000117,refund_record,Refund status: none.
EV_000352,TXN_000118,payment_authentication,Payment authentication status was success.
EV_000353,TXN_000118,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-21.
EV_000354,TXN_000118,refund_record,Refund status: none.
EV_000355,TXN_000119,payment_authentication,Payment authentication status was success.
EV_000356,TXN_000119,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-19.
EV_000357,TXN_000119,refund_record,Refund status: requested.
EV_000358,TXN_000120,payment_authentication,Payment authentication status was success.
EV_000359,TXN_000120,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-02.
EV_000360,TXN_000120,refund_record,Refund status: processed.
EV_000361,TXN_000121,payment_authentication,Payment authentication status was success.
EV_000362,TXN_000121,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-02.
EV_000363,TXN_000121,refund_record,Refund status: none.
EV_000364,TXN_000122,payment_authentication,Payment authentication status was failed.
EV_000365,TXN_000122,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-12.
EV_000366,TXN_000122,refund_record,Refund status: processed.
EV_000367,TXN_000123,payment_authentication,Payment authentication status was success.
EV_000368,TXN_000123,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-20.
EV_000369,TXN_000123,refund_record,Refund status: none.
EV_000370,TXN_000124,payment_authentication,Payment authentication status was success.
EV_000371,TXN_000124,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-06-04.
EV_000372,TXN_000124,refund_record,Refund status: none.
EV_000373,TXN_000125,payment_authentication,Payment authentication status was success.
EV_000374,TXN_000125,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-04-16.
EV_000375,TXN_000125,refund_record,Refund status: none.
EV_000376,TXN_000126,payment_authentication,Payment authentication status was success.
EV_000377,TXN_000126,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-06-29.
EV_000378,TXN_000126,refund_record,Refund status: processed.
EV_000379,TXN_000127,payment_authentication,Payment authentication status was success.
EV_000380,TXN_000127,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-08-01.
EV_000381,TXN_000127,refund_record,Refund status: none.
EV_000382,TXN_000128,payment_authentication,Payment authentication status was failed.
EV_000383,TXN_000128,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-08.
EV_000384,TXN_000128,refund_record,Refund status: none.
EV_000385,TXN_000129,payment_authentication,Payment authentication status was success.
EV_000386,TXN_000129,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-08-07.
EV_000387,TXN_000129,refund_record,Refund status: processed.
EV_000388,TXN_000130,payment_authentication,Payment authentication status was failed.
EV_000389,TXN_000130,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-03-21.
EV_000390,TXN_000130,refund_record,Refund status: requested.
EV_000391,TXN_000131,payment_authentication,Payment authentication status was success.
EV_000392,TXN_000131,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-05.
EV_000393,TXN_000131,refund_record,Refund status: none.
EV_000394,TXN_000132,payment_authentication,Payment authentication status was failed.
EV_000395,TXN_000132,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-31.
EV_000396,TXN_000132,refund_record,Refund status: requested.
EV_000397,TXN_000133,payment_authentication,Payment authentication status was success.
